프로젝트명,InBox,문서,분류,상태,선행 작업,시작일,종료일,진행률,진행율,체크박스,통합 지표,할일,후속 작업
🤝 첫 미팅 10건 진행,,,운영,대기 중,,2026년 2월 15일,2026년 2월 28일,작업 없음,0/0,No,,,
🔥 Hot Lead 응대 프로세스 구축,,,운영,대기 중,,2026년 2월 10일,2026년 2월 14일,작업 없음,0/0,No,,,
💰 가격표 & ROI 계산기 제작,,,기획,진행중,,2026년 2월 7일,2026년 2월 9일,작업 없음,0/0,No,,,
📧 콜드메일 시퀀스 A/B 테스트 제작,,,기획,진행중,,2026년 2월 6일,2026년 2월 9일,작업 없음,0/0,No,,,
🎯 타겟 DB 100개사 구축,,,기획,진행중,,2026년 2월 6일,2026년 2월 9일,작업 없음,0/0,No,,,
✅ 첫 계약 3건 확보 (Phase 1 목표),,,운영,대기 중,,2026년 2월 15일,2026년 2월 28일,작업 없음,0/0,No,,,
🚀 1차 콜드메일 100개사 발송,,,운영,대기 중,,2026년 2월 10일,2026년 2월 10일,작업 없음,0/0,No,,,
❓ FAQ 30개 완성,,,기획,진행중,,2026년 2월 7일,2026년 2월 9일,작업 없음,0/0,No,,,
⚙️ Lemlist 자동화 세팅,,,개발,대기 중,,2026년 2월 8일,2026년 2월 9일,작업 없음,0/0,No,,,
📄 미팅 스크립트 & 제안서 템플릿 제작,,,기획,대기 중,,2026년 2월 10일,2026년 2월 14일,작업 없음,0/0,No,,,
📊 고객 만족도 체크 시스템 구축,,,개발,대기 중,,2026년 3월 10일,2026년 3월 20일,작업 없음,0/0,No,,,
🔍 Phase 1 회고 & Phase 2 전략 수립,,,기획,대기 중,,2026년 3월 5일,2026년 3월 31일,작업 없음,0/0,No,,,
📨 2차 콜드메일 200개사 발송,,,운영,대기 중,,2026년 3월 1일,2026년 3월 10일,작업 없음,0/0,No,,,
🎯 20개사 확보 완료 (Phase 1 완료),,,운영,대기 중,,2026년 3월 1일,2026년 3월 31일,작업 없음,0/0,No,,,
📚 프랜차이즈 전문 콘텐츠 허브 구축,,,기획,대기 중,,2026년 4월 1일,2026년 5월 31일,작업 없음,0/0,No,,,
⚡ 서비스 제공 표준 프로세스 수립,,,운영,대기 중,,2026년 3월 1일,2026년 3월 15일,작업 없음,0/0,No,,,
📖 고객 성공 스토리 5가지 | 실제 법률자문 여정,,,기획,대기 중,,2026년 5월 1일,2026년 6월 30일,작업 없음,0/0,No,,,
👥 고객 온보딩 프로세스 구축,,,운영,대기 중,,2026년 2월 20일,2026년 2월 28일,작업 없음,0/0,No,,,
🎁 고객 추천 프로그램 설계,,,기획,대기 중,,2026년 4월 1일,2026년 4월 30일,작업 없음,0/0,No,,,
🔎 SEO 최적화 & 블로그 운영,,,운영,대기 중,,2026년 4월 1일,2026년 12월 31일,작업 없음,0/0,No,,,
🎓 웨비나 시리즈 기획 & 실행,,,운영,대기 중,,2026년 6월 1일,2026년 12월 31일,작업 없음,0/0,No,,,
🎥 고객 성공 케이스 마케팅 활용 방안 연구,,,기획,대기 중,,2026년 2월 10일,2026년 11월 30일,작업 없음,0/0,No,,,
🔍 Phase 2 회고 & Phase 3 전략 수립,,,기획,대기 중,,2026년 12월 15일,2026년 12월 31일,작업 없음,0/0,No,,,
🤝 프랜차이즈 협회 파트너십 구축,,,기획,대기 중,,2026년 3월 1일,2026년 7월 31일,작업 없음,0/0,No,,,
🎯 300개사 달성 (Phase 2 완료),,,운영,대기 중,,2026년 4월 1일,2026년 12월 31일,작업 없음,0/0,No,,,
🤖 AI 법률 자문 챗봇 개발,,,개발,대기 중,,2027년 1월 1일,2027년 4월 30일,작업 없음,0/0,No,,,
📊 프랜차이즈 법률 리포트 자동화,,,개발,대기 중,,2027년 3월 1일,2027년 6월 30일,작업 없음,0/0,No,,,
🏢 프랜차이즈 박람회 참가 준비,,,기획,대기 중,,2026년 10월 1일,2026년 12월 31일,작업 없음,0/0,No,,,
📰 PR 캠페인 (언론 보도 5건 이상),,,운영,대기 중,,2026년 7월 1일,2026년 10월 31일,작업 없음,0/0,No,,,
👨‍⚖️ 변호사 파트너 네트워크 구축,,,기획,대기 중,,2026년 8월 1일,2026년 11월 30일,작업 없음,0/0,No,,,
🎓 프랜차이즈 경영 아카데미 론칭,,,기획,대기 중,,2026년 4월 1일,2027년 12월 31일,작업 없음,0/0,No,,,
🔍 Phase 3 회고 & Phase 4 전략 수립,,,기획,대기 중,,2027년 12월 15일,2027년 12월 31일,작업 없음,0/0,No,,,
"🏆 1,000개사 달성 (Phase 3 완료)",,,운영,대기 중,,2027년 1월 1일,2027년 12월 31일,작업 없음,0/0,No,,,
💬 고객 커뮤니티 플랫폼 구축,,,개발,대기 중,,2027년 7월 1일,2027년 10월 31일,작업 없음,0/0,No,,,
💻 SaaS 플랫폼 MVP 개발,,,개발,대기 중,,2028년 1월 1일,2028년 6월 30일,작업 없음,0/0,No,,,
🔗 변호사 매칭 시스템 구축,,,개발,대기 중,,2028년 4월 1일,2028년 8월 31일,작업 없음,0/0,No,,,
🎯 업종별 특화 서비스 패키지 개발,,,기획,대기 중,,2026년 2월 10일,2027년 8월 31일,작업 없음,0/0,No,,,
🗺️ 전국 프랜차이즈 박람회 순회,,,운영,대기 중,,2027년 3월 1일,2027년 12월 31일,작업 없음,0/0,No,,,
💡 경쟁사 비교표 제작,,,기획,대기 중,,2026년 2월 8일,2026년 2월 12일,작업 없음,0/0,No,,,
📅 Calendly 미팅 예약 시스템 세팅,,,개발,대기 중,,2026년 2월 8일,2026년 2월 10일,작업 없음,0/0,No,,,
💰 월간 매출 분석 대시보드 구축,,,개발,대기 중,,2026년 2월 15일,2026년 2월 28일,작업 없음,0/0,No,,,
🔄 http://Make.com 자동화 시나리오 구축,,,개발,대기 중,,2026년 2월 15일,2026년 2월 28일,작업 없음,0/0,No,,,
📊 CAC/LTV 추적 시스템 구축,,,개발,대기 중,,2026년 3월 1일,2026년 3월 20일,작업 없음,0/0,No,,,
🎯 IBS 시너지 채널 구축 (로비스/변닷컴 연계),,,기획,대기 중,,2026년 4월 1일,2026년 3월 31일,작업 없음,0/0,No,,,
📝 계약서 표준안 작성,,,기획,대기 중,,2026년 2월 7일,2026년 2월 14일,작업 없음,0/0,No,,,
"👑 2,000개사 달성 (Phase 4 완료)",,,운영,대기 중,,2028년 1월 1일,2028년 12월 31일,작업 없음,0/0,No,,,
📞 고객 응대 매뉴얼 & 스크립트 정리,,,운영,대기 중,,2026년 2월 10일,2026년 2월 20일,작업 없음,0/0,No,,,
,,,,,,,,작업 없음,0/0,No,,,
🎯 영업→계약 전체 프로세스 | 호식이 2마리 치킨 시뮬레이션,,,기획,진행중,,2026년 2월 9일,2026년 2월 28일,작업 없음,0/0,No,,,
"프랜차이즈 법률지원 패키지 상품정의서 v3.0 (AI-Parsable) ",,,기획,,,,,작업 없음,0/0,No,,,
,,,기획,,,,,작업 없음,0/0,No,,,