캠페인명,D-Day,담당자,마지막 수정,메모,발송 대상 수,발송 차수,발송일,본문,상태,액션 필요,오픈율,우선순위,응답률,전환율,제목 라인,타겟 세그먼트,템플릿 타입
[1차] 프랜차이즈 법률 리스크 진단 제안 (B안),D+22,,2026년 2월 6일 오후 7:30,B안이 A안보다 성과 우수. 다음 캠페인 B안 스타일 적용,100,1차,2026년 2월 5일,"안녕하세요, 프랜차이즈 법률 전문 IBS입니다.

무료 체크리스트를 드립니다...",발송완료,No,42%,,12%,5%,[무료 체크리스트] 우리 회사 법률 리스크 25개 항목 점검,"200명 규모, 리테일, 외식",B안
[특별] 대형 프랜차이즈 맞춤 제안,D-3,,2026년 2월 6일 오후 7:30,"1,000개 이상 지점 보유 대형 프랜차이즈 전용",20,1차,2026년 3월 3일,"안녕하세요, 프랜차이즈 법률 전문 IBS입니다.

대형 프랜차이즈를 위한 특별 제안...",초안,No,,,,,"1,000개 이상 지점 운영 대표님께 - 전담 법무팀 구축 제안","200명 규모, 리테일, 외식",A안
[1차] 프랜차이즈 법률 리스크 진단 제안,D+22,,2026년 2월 6일 오후 7:30,첫 캠페인. 오픈율 35% 달성으로 성공적,100,1차,2026년 2월 5일,"안녕하세요, IBS 법률자문 팀입니다.

최근 3년간 가맹점 분쟁이 매년 30% 증가하고 있습니다.

저희는 프랜차이즈 전문 법률자문으로...",발송완료,No,35%,,8%,3%,"프랜차이즈 본사 대표님, 가맹점 분쟁 예방하고 계신가요?","100명 규모, 서비스, 외식",A안
[3차] 최종 팔로우업 - 사례 공유,D+3,,2026년 2월 6일 오후 7:30,"1,2차 미응답자 중 Hot Lead 대상",50,3차,2026년 2월 24일,"안녕하세요, IBS입니다.

최근 저희 고객사 사례를 공유드립니다...",검토중,No,,,,,"[성공사례] OO프랜차이즈, 법률자문으로 분쟁 90% 감소","100명 규모, 외식",C안
[레퍼럴] 기존 고객 추천 프로그램,D-15,,2026년 2월 9일 오후 1:52,워밍된 리드. 추천인 신뢰 활용. 특별 할인 제공,15,1차,2026년 3월 15일,"안녕하세요, {회사명} {직책}님.

저희 고객사인 {추천인 회사} {추천인}님께서
귀사를 소개해주셨습니다.

""{추천인}님 말씀:
'{회사명}도 우리랑 비슷한 고민이 있을 것 같아요.
IBS 정말 도움 많이 받았으니 한 번 소개해주세요.'""

{추천인}님은 저희와 함께:
✓ {성과 1}
✓ {성과 2}
✓ {성과 3}

귀사도 비슷한 결과를 얻으실 수 있습니다.

추천인 특별 혜택으로 첫 달 30% 할인해드립니다.

[미팅 신청하기]

감사합니다.
IBS 법률자문팀",초안,No,,📌 보통,,,{추천인}님이 {회사명}을 추천하셨습니다,"리테일, 서비스, 외식",A안
[업종특화] 뷰티/헬스케어 프랜차이즈 전용,D+3,,2026년 2월 9일 오후 1:52,업종 특화 어프로치. 노무/상권 이슈 중심,12,1차,2026년 2월 24일,"안녕하세요, {회사명} {직책}님.

뷰티/헬스케어 프랜차이즈는 노무 이슈가 생명입니다:

⚠️ 임금체불 신고
⚠️ 근로계약서 미작성 과태료
⚠️ 직원 퇴사 시 분쟁

저희 고객사:

🔹 네일샵 프랜차이즈 (43개점)
→ 임금체불 신고 월 2.3건 → 0.2건 (91% 감소)
→ 과태료 연 1,800만원 → 0원

🔹 필라테스 프랜차이즈 (76개점)
→ 가맹점 간 상권 분쟁 해결
→ 분쟁 비용 건당 3,200만원 → 650만원 (80% 절감)

귀사 상황 진단해드립니다.

[무료 상담 신청]

감사합니다.",초안,No,,📌 보통,,,"필라테스/네일샵 프랜차이즈, 노무 분쟁 91% 감소시킨 방법","100명 규모, 서비스",B안
[특별] 대형 프랜차이즈 (500개점 이상) 맞춤 제안,D+10,,2026년 2월 9일 오후 1:52,고가치 타겟. 대표 직통 어프로치. ROI 대폭 강조,10,1차,2026년 2월 17일,"안녕하세요, {회사명} {직책}님.

500개 이상 가맹점을 운영하시는 대형 프랜차이즈를 위한 특별 제안입니다.

🏢 귀사 규모라면:
• 월평균 법률 이슈 30~50건 발생 추정
• 외부 로펌 비용 월 2,000~3,000만원 지출 추정
• 법률 검토 지연으로 인한 기회비용 상당

💡 IBS 솔루션:
✓ 전담 법무팀 구성 (변호사 2명 + 보조 1명)
✓ 24/7 긴급 대응 핫라인
✓ 월 정액제로 예측 가능한 비용 관리
✓ 연 평균 3억원 절감 (실제 고객 사례 기반)

대표님과 직접 논의하고 싶습니다.

[대표 직통 미팅 신청]

감사합니다.
IBS 법률자문팀 대표",초안,No,,⚡ 높음,,,[{회사명} 전용] 전담 법무팀 구축 제안 - 연 3억 절감 가능,"200명 규모, 리테일, 외식",A안
[업종특화] 치킨 프랜차이즈 전용,D+7,,2026년 2월 9일 오후 1:52,업종 특화 어프로치. 치킨 프랜차이즈 성공 사례 전면 배치,15,1차,2026년 2월 20일,"안녕하세요, {회사명} {직책}님.

치킨 프랜차이즈를 운영하시는 분들은 비슷한 고민이 있습니다:

❌ 로열티 분쟁
❌ 영업구역 침해 클레임
❌ 계약 해지 요구

저희 고객사 중 치킨 프랜차이즈 A사(87개 가맹점)는:

✅ 월 분쟁 12건 → 3건 (75% 감소)
✅ 법률 비용 월 900만원 → 180만원 (80% 절감)
✅ 계약 갱신율 73% → 94% (29%p 상승)

비결은? 예방 시스템 구축입니다.

귀사도 가능합니다.
실제 사례를 보여드리겠습니다.

[사례 보기 + 미팅 신청]

감사합니다.
IBS 법률자문팀",초안,No,,⚡ 높음,,,"치킨 프랜차이즈 A사, 가맹점 분쟁 75% 감소 비결","100명 규모, 외식",B안
[시즌] 공정위 조사 대비 긴급 점검 캠페인,D-5,,2026년 2월 9일 오후 1:52,시즌 이슈 활용. 긴급성 극대화. 무료 혜택 강조,30,1차,2026년 3월 5일,"안녕하세요, {회사명} {직책}님.

매년 3~5월은 공정거래위원회 조사가 집중되는 시기입니다.

작년 한 프랜차이즈는:
❌ 정보공개서 4개 항목 누락
❌ 공정위 조사 → 과징금 1억+ 예상
❌ 신규 가맹 모집 중단 위기

→ IBS 개입 3주 만에 과징금 0원 처리

🚨 귀사는 안전한가요?

✅ 정보공개서 11개 항목 적법성 점검
✅ 가맹계약서 불공정 조항 검토
✅ 공정위 조사 대응 시뮬레이션

지금 점검하시면 3월 말까지 무료입니다.

[긴급 점검 신청]

감사합니다.
IBS 법률자문팀",초안,No,,🔥 긴급,,,"[긴급] 공정위 조사 시즌, 귀사 정보공개서 적법한가요?","리테일, 서비스, 외식",A안
[재활성화] 6개월 전 관심 표현 후 무응답,D-10,,2026년 2월 9일 오후 1:52,과거 관심자 재활성화. 낮은 압박 + 업데이트 공유,20,1차,2026년 3월 10일,"안녕하세요, {회사명} {직책}님.

작년 9월, 저희 법률자문 서비스에 관심 보여주셨던 기억이 납니다.

당시 '지금은 타이밍이 안 맞는다'고 하셨는데,
혹시 지금은 괜찮으신가요?

그 사이 저희는:
✓ 고객사 23개 → 41개로 증가
✓ 평균 ROI 300% 달성
✓ 업종별 특화 패키지 출시

특히 {업종} 관련해서 새로운 성공 사례가 많이 생겼습니다.

한 번 더 기회를 주시면 좋겠습니다.

[다시 대화하기]

감사합니다.
IBS 법률자문팀",초안,No,,💤 낮음,,,6개월 전 관심 보여주셨는데... 지금은 어떠신가요?,"리테일, 서비스, 외식",B안
[1차-C] 콜드메일 100개사 발송 - 혜택 폭탄형,D+17,,2026년 2월 9일 오후 2:34,C안: 혜택 폭탄 + 긴박감. 600만원 바우처 + 100개 지점 무제한 지원 + 모듈형 3종. '지금 안 하면 손해' 느낌 극대화,50,1차,2026년 2월 10일,"안녕하세요, {회사명} {직책}님.

지금 계약하시면 600만원을 드립니다.
(월 150만원 × 8개월 50% 할인 = 바우처 600만원)

그런데 여기서 끝이 아닙니다.

━━━━━━━━━━━━━━━━━━━━━
💎 {회사명} 맞춤 올인원 패키지
━━━━━━━━━━━━━━━━━━━━━

✅ 본사 법률자문 (월 150만원 → 8개월간 75만원)
✅ 전국 100개 지점 법률상담 무제한 (가치: 연 3,600만원)
✅ 가맹점주 심리상담 무제한 (추가 모듈, 월 +30만원)
✅ 600만원 바우처 즉시 지급

+ 선택 가능한 3가지 프리미엄 모듈
  📌 노무 자문 무제한 (월 +50만원)
  📌 세무 컨설팅 (월 +40만원)
  📌 경영 인사이트 리포트 (월 +20만원)

━━━━━━━━━━━━━━━━━━━━━
🔥 총 가치: 연 5,000만원 이상
🎯 실제 비용: 월 150만원 (첫 8개월 75만원)
💰 ROI: 333%
━━━━━━━━━━━━━━━━━━━━━

이 조건은 2월 계약 기업 한정입니다.
3월부터는 정상가로 복귀합니다.

30분 전화 한 통이면 됩니다.
지금 바로 일정 잡으세요.

[미팅 신청하기]

감사합니다.
IBS 법률자문팀
02-xxxx-xxxx",초안,Yes,,🔥 긴급,,,🎁 2년 계약 시 600만원 바우처 + 100개 지점 법률상담 무제한 (2월 한정),"100명 규모, 리테일, 외식",C안